Razón Social: EL CHALAN S.A.C.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
RUC: 20102351038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Listado de Detalles Kárdex General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codigo Inventario,Registro Contable,Fecha Movimiento,Cod. Almacén,Nom. Almacen,Cod. Producto,Nombre Producto,Cod. Comercial,Codigo Unidad Medida,Nombre Unidad Medida,Clase,Sub Clase,Sub Sub Clase,Marca,Temporada,Tipo Operacion,Nombre Tipo Operacion,Cod. Ref,Cod. Tipo Documento,Tipo Documento,Nro. Serie,Nro. Documento,Cod. Doc. Final,Nro. Serie Doc. Final,Nro. Doc. Final,Movimiento,Unid. Medida Registro,Cantidad,Factor,Unidad Medida Base,Cantidad Entrada,Costo Entrada,Total Entrada,Cantidad Salida,Costo Salida,Total Salida,Saldo Cantidad,Saldo Costo,Saldo Total,U.M. Sin Convertir,Cantidad Sin Convertir,Cantidad Secundaria Entrada,Cantidad Secundaria Salida,Saldo Cantidad Secundaria,Tipo Existencia,Nombre Existencia,Cod. Centro Costos,Nombre Centro Costos,Cod. Sub Centro Costos,Nombre Sub Centro Costos,Cod. Sub Sub Centro Costos,Nombre Sub Sub Centro Costos,Magen Venta,Numero de Documento Auxiliar,Nombre Auxiliar
INV000279678,INS6_LD04-00041,2025-04-01 05:00:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,16,Saldo Inicial,,  ,,,,,,,Entrada,UND,181,1,Unidades,181,19.82273,3587.91413,0,0,0,181,19.82273,3587.91413,UND,181,0,0,0,01,MERCADERÍA,07,FABRICA,0701,CREMOLADAS,070106,COSTO DE COMPRAS,0,,
INV000280955,INS4_LD04-00012,2025-04-01 05:00:00,A05,ALMACEN CHALAN OPEN,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,16,Saldo Inicial,,  ,,,,,,,Entrada,UND,8.596,1,Unidades,8.596,19.823,170.398508,0,0,0,8.596,19.823,170.398508,UND,8.596,0,0,0,01,MERCADERÍA,04,TIENDA OPEN,0401,VENTA OPEN,040105,COSTO DE COMPRA,0,,
INV000281037,INS3_LD04-00060,2025-04-01 05:00:00,A04,ALMACEN CHALAN REAL,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,16,Saldo Inicial,,  ,,,,,,,Entrada,UND,7.199,1,Unidades,7.199,19.823,142.705777,0,0,0,7.199,19.823,142.705777,UND,7.199,0,0,0,01,MERCADERÍA,03,TIENDA REAL,0301,VENTA REAL,030103,COSTO DE COMPRA,0,,
INV000281337,INS7_LD04-00070,2025-04-01 05:00:00,A15,ALMACEN MANCORA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,16,Saldo Inicial,,  ,,,,,,,Entrada,UND,1.225,1,Unidades,1.225,19.82275,24.282869,0,0,0,1.225,19.822750204081633,24.282869,UND,1.225,0,0,0,01,MERCADERÍA,06,TIENDA MANCORA,0601,VENTA MANCORA,060106,COSTO DE COMPRA,0,,
INV000281877,INGN_LD04-00896,2025-04-01 05:00:00,A02,ALMACEN CHALAN PLAZA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,16,Saldo Inicial,,  ,,,,,,,Entrada,UND,11.022,1,Unidades,11.022,19.82275,218.48635,0,0,0,11.022,19.82274995463618,218.48635,UND,11.022,0,0,0,01,MERCADERÍA,01,TIENDA PLAZA,0101,VENTA PLAZA,010103,COSTO DE COMPRA,0,,
INV000282088,INS5_LD04-00132,2025-04-01 05:00:00,A06,ALMACEN CHALAN MEGA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,16,Saldo Inicial,,  ,,,,,,,Entrada,UND,3.863,1,Unidades,3.863,19.82275,76.575283,0,0,0,3.863,19.822749935283458,76.575283,UND,3.863,0,0,0,01,MERCADERÍA,05,TIENDA MEGA,0501,VENTA MEGA,050106,COSTO DE COMPRA,0,,
INV000286867,INS6_LD04-00111,2025-04-01 06:11:00,A13,ALMACEN DE PT - FABRICA,PD00489,CREMOLADA X BOLSA MARACUYA,,07,Unidades,CREMOLADAS,0,0,GLORIA,,17,Otros,,  ,,,,,,,Salida,UND,1,1,Unidades,0,0,0,1,19.82273,19.82273,180,19.82273,3568.0914,UND,1,0,0,0,01,MERCADERÍA,07,FABRICA,0708,VENTAS-MARKETS,070801,GASTOS DE VENTAS,0,,
